id,language,domain,question,gold_answer,gold_passage_text,source_citation,draft_model,lint_flags,decision,corrected_question,corrected_answer,annotator_notes
quran-2:20-ar-q1,ar,quran,كيف يُوصف الله في النص؟,أنه على كل شيء قدير,يكاد البرق يخطف أبصارهم ۖ كلما أضاء لهم مشوا فيه وإذا أظلم عليهم قاموا ۚ ولو شاء الله لذهب بسمعهم وأبصارهم ۚ إن الله على كل شيء قدير,"Quran 2:20 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:21-ar-q0,ar,quran,إلى من توجّه الخطاب في هذا النص؟,إلى الناس,يا أيها الناس اعبدوا ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون,"Quran 2:21 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:23-ar-q0,ar,quran,ماذا يُطلب من الأشخاص إذا كانوا في ريب مما نزل على عبدنا؟,أن يأتوا بسورة من مثله وادعوا شهداءكم من دون الله,وإن كنتم في ريب مما نزلنا على عبدنا فأتوا بسورة من مثله وادعوا شهداءكم من دون الله إن كنتم صادقين,"Quran 2:23 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:23-ar-q1,ar,quran,ما هو الشرط المذكور في نهاية النص؟,أن يكونوا صادقين,وإن كنتم في ريب مما نزلنا على عبدنا فأتوا بسورة من مثله وادعوا شهداءكم من دون الله إن كنتم صادقين,"Quran 2:23 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:24-ar-q1,ar,quran,لمن أعدت النار التي ذُكر في النص؟,الكافرين,فإن لم تفعلوا ولن تفعلوا فاتقوا النار التي وقودها الناس والحجارة ۖ أعدت للكافرين,"Quran 2:24 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:28-ar-q0,ar,quran,ما كانت حالهم قبل أن يُحيهم الله؟,كانوا أمواتا,كيف تكفرون بالله وكنتم أمواتا فأحياكم ۖ ثم يميتكم ثم يحييكم ثم إليه ترجعون,"Quran 2:28 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:33-ar-q0,ar,quran,من هو الشخص الذي وجه له الله الأمر بأن يُخبرهم بأسمائهم؟,آدم.,قال يا آدم أنبئهم بأسمائهم ۖ فلما أنبأهم بأسمائهم قال ألم أقل لكم إني أعلم غيب السماوات والأرض وأعلم ما تبدون وما كنتم تكتمون,"Quran 2:33 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:33-ar-q1,ar,quran,ما هو ما قاله هو أنه يعلمه؟,غيب السماوات والأرض وأعلم ما تبدون وما كنتم تكتمون.,قال يا آدم أنبئهم بأسمائهم ۖ فلما أنبأهم بأسمائهم قال ألم أقل لكم إني أعلم غيب السماوات والأرض وأعلم ما تبدون وما كنتم تكتمون,"Quran 2:33 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:35-ar-q0,ar,quran,إلى من وجه الله هذه الأوامر في النص؟,إلى آدم وزوجته,وقلنا يا آدم اسكن أنت وزوجك الجنة وكلا منها رغدا حيث شئتما ولا تقربا هذه الشجرة فتكونا من الظالمين,"Quran 2:35 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:35-ar-q1,ar,quran,ما العاقبة التي تنذر بها النص لمن قد يقرب هذه الشجرة؟,أن يكونا من الظالمين,وقلنا يا آدم اسكن أنت وزوجك الجنة وكلا منها رغدا حيث شئتما ولا تقربا هذه الشجرة فتكونا من الظالمين,"Quran 2:35 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:41-ar-q0,ar,quran,Q1: ماذا يُطلب من المؤمنين؟,A1: أن يؤمنوا بما أنزلت مصدقا لما معكم.,وآمنوا بما أنزلت مصدقا لما معكم ولا تكونوا أول كافر به ۖ ولا تشتروا بآياتي ثمنا قليلا وإياي فاتقون,"Quran 2:41 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:41-ar-q1,ar,quran,Q2: ماذا يُحذر النص من أن يشتروا بآياتي ثمنا قليلاً؟,A2: أن تشتروا بآياتي ثمنا قليلاً.,وآمنوا بما أنزلت مصدقا لما معكم ولا تكونوا أول كافر به ۖ ولا تشتروا بآياتي ثمنا قليلا وإياي فاتقون,"Quran 2:41 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),reject,,,
quran-2:42-ar-q1,ar,quran,متى يجب على الإنسان عدم كتمان الحق؟,عندما تعلمون,ولا تلبسوا الحق بالباطل وتكتموا الحق وأنتم تعلمون,"Quran 2:42 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:44-ar-q1,ar,quran,"ما السبب الذي يُسأل به في النص ""أفلا تعقلون""؟",يأمرون الناس بالبر وتنسون أنفسكم ويتلون الكتاب,أتأمرون الناس بالبر وتنسون أنفسكم وأنتم تتلون الكتاب ۚ أفلا تعقلون,"Quran 2:44 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:57-ar-q0,ar,quran,ماذا أنزل الله عليكم لتأكلوا من طيبات؟,المن والسلوى.,وظللنا عليكم الغمام وأنزلنا عليكم المن والسلوى ۖ كلوا من طيبات ما رزقناكم ۖ وما ظلمونا ولكن كانوا أنفسهم يظلمون,"Quran 2:57 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:57-ar-q1,ar,quran,من كان يظلمون أنفسهم في هذا الأمر؟,كانوا أنفسهم.,وظللنا عليكم الغمام وأنزلنا عليكم المن والسلوى ۖ كلوا من طيبات ما رزقناكم ۖ وما ظلمونا ولكن كانوا أنفسهم يظلمون,"Quran 2:57 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),edit,,بنو إسرائيل,
quran-2:62-ar-q0,ar,quran,ما هي الشروط المذكورة في النص للحصول على الأجر عند الرب وخلاص من الخوف والحزن؟,الإيمان بالله واليوم الآخر والعمل صالحاً,إن الذين آمنوا والذين هادوا والنصارى والصابئين من آمن بالله واليوم الآخر وعمل صالحا فلهم أجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون,"Quran 2:62 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:64-ar-q0,ar,quran,ما كان سيحدث للناس لو لم يكن فضل الله ورحمته؟,كانوا من الخاسرين,ثم توليتم من بعد ذلك ۖ فلولا فضل الله عليكم ورحمته لكنتم من الخاسرين,"Quran 2:64 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:66-ar-q0,ar,quran,من هم المستهدفون بهذه الموعظة؟,المتقين,فجعلناها نكالا لما بين يديها وما خلفها وموعظة للمتقين,"Quran 2:66 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),edit,,المؤمنون الصادقون,
quran-2:68-ar-q0,ar,quran,ماذا طلبوا من ربه ليبيّن لهم؟,ادعوا ربك يبيّن لهم ما هي,قالوا ادع لنا ربك يبين لنا ما هي ۚ قال إنه يقول إنها بقرة لا فارض ولا بكر عوان بين ذلك ۖ فافعلوا ما تؤمرون,"Quran 2:68 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),edit,,صفات وحقيقة البقرة,
quran-2:7-ar-q0,ar,quran,ماذا فعل الله على قلوبهم وعلى سمعهم وعلى أبصارهم؟,ختم الله على قلوبهم وعلى سمعهم وعلى أبصارهم غشاوة,ختم الله على قلوبهم وعلى سمعهم ۖ وعلى أبصارهم غشاوة ۖ ولهم عذاب عظيم,"Quran 2:7 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:72-ar-q1,ar,quran,ما هو وصف الله فيما يتعلق بما كنتم تكتمون؟,هو مخرج ما كنتم تكتمون,وإذ قتلتم نفسا فادارأتم فيها ۖ والله مخرج ما كنتم تكتمون,"Quran 2:72 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:75-ar-q1,ar,quran,ماذا يُعرف بالفريق المذكور في نهاية الجملة؟,أنهم يعلمون,أفتطمعون أن يؤمنوا لكم وقد كان فريق منهم يسمعون كلام الله ثم يحرفونه من بعد ما عقلوه وهم يعلمون,"Quran 2:75 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:78-ar-q0,ar,quran,من هم الذين لا يعلمون الكتاب في هذا النص؟,الأميون,ومنهم أميون لا يعلمون الكتاب إلا أماني وإن هم إلا يظنون,"Quran 2:78 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:78-ar-q1,ar,quran,كيف يصف النص فهمهم للكتاب؟,أنهم لا يعلمونه إلا أماني وإن هم إلا يظنون,ومنهم أميون لا يعلمون الكتاب إلا أماني وإن هم إلا يظنون,"Quran 2:78 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:79-ar-q0,ar,quran,من هم الذين يُذْكَر في النص؟,هم الذين يكتبون الكتاب بأيديهم ثم يقولون هذا من عند الله ليشتروا به ثمنا قليلا,فويل للذين يكتبون الكتاب بأيديهم ثم يقولون هذا من عند الله ليشتروا به ثمنا قليلا ۖ فويل لهم مما كتبت أيديهم وويل لهم مما يكسبون,"Quran 2:79 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:8-ar-q0,ar,quran,ماذا يقول هؤلاء الأشخاص عن أنفسهم؟,أنهم آمنا بالله وباليوم الآخر,ومن الناس من يقول آمنا بالله وباليوم الآخر وما هم بمؤمنين,"Quran 2:8 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:81-ar-q0,ar,quran,من هم أولئك أصحاب النار المذكورون في النص؟,هم من كسب سيئة وأحاطت به خطيئته,بلى من كسب سيئة وأحاطت به خطيئته فأولئك أصحاب النار ۖ هم فيها خالدون,"Quran 2:81 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:82-ar-q0,ar,quran,من هم أصحاب الجنة المذكورون في هذا النص؟,أولئك الذين آمنوا وعملوا الصالحات,والذين آمنوا وعملوا الصالحات أولئك أصحاب الجنة ۖ هم فيها خالدون,"Quran 2:82 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:82-ar-q1,ar,quran,ماذا وصف النص لهم في الجنة؟,أنهم خالدون,والذين آمنوا وعملوا الصالحات أولئك أصحاب الجنة ۖ هم فيها خالدون,"Quran 2:82 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:92-ar-q1,ar,quran,"ماذا فعل ""أنتم"" بعد موسى؟",اتخاذتم العجل,ولقد جاءكم موسى بالبينات ثم اتخذتم العجل من بعده وأنتم ظالمون,"Quran 2:92 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),edit,,اتخذوا العجل اله من غير رب العالمين,
quran-1:1-ar-q0,ar,quran,ما هو الاسم المذكور في النص؟,الله,بسم الله الرحمن الرحيم,"Quran 1:1 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-1:1-ar-q1,ar,quran,ما هي الكلمات التي تلي الاسم في النص؟,الرحمن الرحيم,بسم الله الرحمن الرحيم,"Quran 1:1 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-1:2-ar-q1,ar,quran,ما هو الوصف الذي يُنسب إلى الله في هذا النص؟,رب العالمين,الحمد لله رب العالمين,"Quran 1:2 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-1:3-ar-q0,ar,quran,ما هي الكلمات الموجودة في النص؟,الرحمن الرحيم,الرحمن الرحيم,"Quran 1:3 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-1:5-ar-q1,ar,quran,ما هو العنصر المتكرر في بداية كل جزء من النص؟,إياك,إياك نعبد وإياك نستعين,"Quran 1:5 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-2:1-ar-q0,ar,quran,ما هي العبارة التي تبدأ النص؟,بسم الله الرحمن الرحيم,بسم الله الرحمن الرحيم الم,"Quran 2:1 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-2:1-ar-q1,ar,quran,ما هو الجزء الذي يأتي في نهاية النص؟,الم,بسم الله الرحمن الرحيم الم,"Quran 2:1 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-2:10-ar-q1,ar,quran,ما سبب عذابهم الأليم؟,بما كانوا يكذبون,في قلوبهم مرض فزادهم الله مرضا ۖ ولهم عذاب أليم بما كانوا يكذبون,"Quran 2:10 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-2:11-ar-q0,ar,quran,ماذا يقولون إذا قيل لهم لا تفسدوا في الأرض؟,قالوا إنما نحن مصلحون,وإذا قيل لهم لا تفسدوا في الأرض قالوا إنما نحن مصلحون,"Quran 2:11 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-2:11-ar-q1,ar,quran,ما هو الأمر الذي يُوجه إليهم في النص؟,لا تفسدوا في الأرض,وإذا قيل لهم لا تفسدوا في الأرض قالوا إنما نحن مصلحون,"Quran 2:11 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-2:13-ar-q0,ar,quran,ماذا قالوا عندما قيل لهم أنؤمنوا كما آمن الناس؟,قالوا أنؤمن كما آمن السفهاء,وإذا قيل لهم آمنوا كما آمن الناس قالوا أنؤمن كما آمن السفهاء ۗ ألا إنهم هم السفهاء ولكن لا يعلمون,"Quran 2:13 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-2:13-ar-q1,ar,quran,ماذا يُقال عنهم في النص؟,هم السفهاء ولكن لا يعلمون,وإذا قيل لهم آمنوا كما آمن الناس قالوا أنؤمن كما آمن السفهاء ۗ ألا إنهم هم السفهاء ولكن لا يعلمون,"Quran 2:13 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-2:14-ar-q0,ar,quran,ماذا يقولون إذا لقوا الذين آمنوا؟,قالوا آمنا,وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلوا إلى شياطينهم قالوا إنا معكم إنما نحن مستهزئون,"Quran 2:14 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-2:14-ar-q1,ar,quran,متى يقولون أنهم مستهزئون؟,إذا خلوا إلى شياطينهم,وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلوا إلى شياطينهم قالوا إنا معكم إنما نحن مستهزئون,"Quran 2:14 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-2:15-ar-q0,ar,quran,ما هي الأفعال التي يمارسها الله تجاههم في النص؟,يستهزئ بهم ويمدهم,الله يستهزئ بهم ويمدهم في طغيانهم يعمهون,"Quran 2:15 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,edit,,يستهزئ بهم ويمدهم في طغيانهم وكفرهم ,
quran-2:15-ar-q1,ar,quran,ما هو الوصف الخاص بهم المذكور في الجملة؟,في طغيانهم يعمهون,الله يستهزئ بهم ويمدهم في طغيانهم يعمهون,"Quran 2:15 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-2:16-ar-q0,ar,quran,ماذا اشترى أولئك الذين بالهدى؟,الضلالة,أولئك الذين اشتروا الضلالة بالهدى فما ربحت تجارتهم وما كانوا مهتدين,"Quran 2:16 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-2:17-ar-q0,ar,quran,ما هو التشبيه الذي ورد في النص لوصف حالتهم؟,كمثل الذي استوقد نارا,مثلهم كمثل الذي استوقد نارا فلما أضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمات لا يبصرون,"Quran 2:17 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-2:18-ar-q1,ar,quran,ماذا يفعلون (أو لا يفعلون) حسب النص؟,لا يرجعون,صم بكم عمي فهم لا يرجعون,"Quran 2:18 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-2:19-ar-q0,ar,quran,من هو الذي محيط بالكافرين؟,الله,أو كصيب من السماء فيه ظلمات ورعد وبرق يجعلون أصابعهم في آذانهم من الصواعق حذر الموت ۚ والله محيط بالكافرين,"Quran 2:19 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-2:19-ar-q1,ar,quran,ماذا يفعلون عند حدوث الصواعق؟,يجعلون أصابعهم في آذانهم,أو كصيب من السماء فيه ظلمات ورعد وبرق يجعلون أصابعهم في آذانهم من الصواعق حذر الموت ۚ والله محيط بالكافرين,"Quran 2:19 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-2:2-ar-q1,ar,quran,من المتصفون بهذا الكتاب كهدى؟,للمتقين,ذلك الكتاب لا ريب ۛ فيه ۛ هدى للمتقين,"Quran 2:2 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-2:21-ar-q1,ar,quran,ما هو الغرض المذكور من عبادة ربكم؟,لعلكم تتقون,يا أيها الناس اعبدوا ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون,"Quran 2:21 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-2:22-ar-q0,ar,quran,ماذا فعل الله بالأرض والسماء؟,جعل لكم الأرض فراشا والسماء بناء,الذي جعل لكم الأرض فراشا والسماء بناء وأنزل من السماء ماء فأخرج به من الثمرات رزقا لكم ۖ فلا تجعلوا لله أندادا وأنتم تعلمون,"Quran 2:22 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-2:22-ar-q1,ar,quran,ما التحذير الذي ورد في النص؟,لا تجعلوا لله أندادا,الذي جعل لكم الأرض فراشا والسماء بناء وأنزل من السماء ماء فأخرج به من الثمرات رزقا لكم ۖ فلا تجعلوا لله أندادا وأنتم تعلمون,"Quran 2:22 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-2:24-ar-q0,ar,quran,ما هو وقود النار الذي ذُكر في النص؟,الناس والحجارة,فإن لم تفعلوا ولن تفعلوا فاتقوا النار التي وقودها الناس والحجارة ۖ أعدت للكافرين,"Quran 2:24 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-2:25-ar-q0,ar,quran,ما الذي جاء به النص للذين آمنوا وعملوا الصالحات؟,أن لهم جنات تجري من تحتها الأنهار,وبشر الذين آمنوا وعملوا الصالحات أن لهم جنات تجري من تحتها الأنهار ۖ كلما رزقوا منها من ثمرة رزقا ۙ قالوا هذا الذي رزقنا من قبل ۖ وأتوا به متشابها ۖ ولهم فيها أزواج مطهرة ۖ وهم فيها خالدون,"Quran 2:25 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-2:25-ar-q1,ar,quran,ماذا قالوا كلما رزقوا منها من ثمرة رزقا؟,قالوا هذا الذي رزقنا من قبل,وبشر الذين آمنوا وعملوا الصالحات أن لهم جنات تجري من تحتها الأنهار ۖ كلما رزقوا منها من ثمرة رزقا ۙ قالوا هذا الذي رزقنا من قبل ۖ وأتوا به متشابها ۖ ولهم فيها أزواج مطهرة ۖ وهم فيها خالدون,"Quran 2:25 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-2:26-ar-q0,ar,quran,من يعلمون أنه الحق من ربهم؟,الذين آمنوا,إن الله لا يستحيي أن يضرب مثلا ما بعوضة فما فوقها ۚ فأما الذين آمنوا فيعلمون أنه الحق من ربهم ۖ وأما الذين كفروا فيقولون ماذا أراد الله بهذا مثلا ۘ يضل به كثيرا ويهدي به كثيرا ۚ وما يضل به إلا الفاسقين,"Quran 2:26 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
quran-2:26-ar-q1,ar,quran,ما يضل الله به إلا؟,الفاسقين,إن الله لا يستحيي أن يضرب مثلا ما بعوضة فما فوقها ۚ فأما الذين آمنوا فيعلمون أنه الحق من ربهم ۖ وأما الذين كفروا فيقولون ماذا أراد الله بهذا مثلا ۘ يضل به كثيرا ويهدي به كثيرا ۚ وما يضل به إلا الفاسقين,"Quran 2:26 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,,approve,,,
